variable,coefficient,std_err,z_value,p_value,sig
L1.n,0.2710675083204972,0.1382541711108286,1.9606461500767418,0.0499203148635382,*
L2.n,-0.023392752061980104,0.04196648585283095,-0.5574150798333306,0.5772438647521734, 
w,-0.5668527073733358,0.20922309656622923,-2.709321851538028,0.006742090145843551,**
k,0.36139387185747174,0.06626238273542522,5.453982439787262,4.925406801703477e-08,***
year_1979,0.0011898142198443207,0.009232206475411987,0.12887647422240145,0.8974553922578082, 
year_1980,-0.03164318260261922,0.011615479009238396,-2.7242253700817454,0.006445250855864605,**
year_1981,-0.09001627038898485,0.020659346718638835,-4.357169256846457,1.3175538005805091e-05,***
year_1982,-0.09962095307966656,0.0296035829490376,-3.3651654007950142,0.0007649778682817536,***
year_1983,-0.06933076946461991,0.04042764487853987,-1.7149346609953684,0.08635720696193439, 
year_1984,-0.06145051486060282,0.04755250434660118,-1.2922666367411837,0.1962648217474633, 
