.id,.placebo,average_causal_effect
Alabama,1,1.1981335577978953
Arkansas,1,1.1023600256993464
California,0,-18.719475821017078
Colorado,1,-6.105529606486642
Connecticut,1,-4.072935034003906
Delaware,1,26.386639637992023
Georgia,1,-11.606317018700896
Idaho,1,-4.119461750643224
Illinois,1,-5.787994262544302
Indiana,1,26.7185646136755
Iowa,1,5.95280973603754
Kansas,1,-3.272818332968727
Kentucky,1,32.5935749264403
Louisiana,1,4.86249941013806
Maine,1,-3.6603298446032646
Minnesota,1,7.5118750484298635
Mississippi,1,3.615483015012746
Missouri,1,6.27207170284267
Montana,1,6.375116202123608
Nebraska,1,4.348780950501824
Nevada,1,-17.20654100078584
New Hampshire,1,-13.613927358402094
New Mexico,1,-8.699999880669688
North Carolina,1,-29.582497103089114
North Dakota,1,0.5937582969507579
Ohio,1,-3.5988306477326772
Oklahoma,1,1.9471542331388687
Pennsylvania,1,-0.36412311685072396
Rhode Island,1,-28.032974892144225
South Carolina,1,12.006784539070443
South Dakota,1,4.75678196374189
Tennessee,1,12.444532482089313
Texas,1,-14.05465485925803
Utah,1,-14.458355328921272
Vermont,1,-3.031486935392382
Virginia,1,-8.559920882659151
West Virginia,1,13.954774794768884
Wisconsin,1,15.510966494737913
Wyoming,1,-0.284496038957825
