state,weight
Utah,0.3269674270645111
Nevada,0.2548131371679772
Montana,0.24463826433588426
Connecticut,0.14802995642912184
Idaho,0.005006068328029627
New Mexico,0.002539300199923794
Colorado,0.0011810197813679835
West Virginia,0.0011178518541506153
South Dakota,8.09589614926348e-4
Nebraska,8.043661107342793e-4
North Carolina,7.982520487028553e-4
Illinois,7.932963468247952e-4
North Dakota,7.516197420423905e-4
Iowa,7.389385540050057e-4
Kansas,7.157010072766914e-4
Wisconsin,6.323083351811561e-4
Minnesota,6.134180176685655e-4
Wyoming,5.975951729556414e-4
Indiana,5.724833730326572e-4
Pennsylvania,5.176664373084208e-4
Oklahoma,5.156152819227535e-4
Maine,5.152084256001286e-4
Texas,5.079343625052917e-4
Delaware,5.069645854416638e-4
Mississippi,4.6015070815397545e-4
Rhode Island,4.384108021328629e-4
Louisiana,4.350272019790079e-4
Virginia,4.291161587261826e-4
New Hampshire,4.256445459856883e-4
Ohio,4.0851692837042724e-4
Vermont,3.999107115280564e-4
Missouri,3.8920828478618665e-4
South Carolina,3.76996760154809e-4
Alabama,3.59486988312026e-4
Georgia,3.383366082392956e-4
Tennessee,3.081252228917999e-4
Arkansas,3.0664020366987345e-4
Kentucky,2.4044629396178878e-4
