startyear,endyear,beta,se,lower,upper,n,speed_pct,halflife
1960,2019,-.00055955473,.001248844,-.003043903,.0019247937,84,-.055955473,
1961,2019,-.00069172471,.0011934956,-.0030647137,.0016812643,87,-.069172472,
1962,2019,-.0004949476,.0012000031,-.0028804748,.0018905796,88,-.049494758,
1963,2019,-.00056703232,.0011783345,-.0029094839,.0017754191,88,-.056703232,
1964,2019,-.00055254821,.0011909937,-.0029197771,.0018146806,89,-.055254821,
1965,2019,-.00056789076,.0011972751,-.0029476047,.0018118231,89,-.056789078,
1966,2019,-.00051758467,.0012040309,-.0029107265,.0018755571,89,-.051758468,
1967,2019,-.00055817125,.0012232548,-.0029895226,.00187318,89,-.055817124,
1968,2019,-.0005567692,.0012227057,-.0029870293,.0018734909,89,-.055676918,
1969,2019,-.00055674918,.0012008377,-.0029431616,.0018296634,90,-.055674918,
1970,2019,.0001351775,.0012552444,-.0023558142,.0026261692,100,.013517749,5144.3359
1971,2019,.00011763909,.001245774,-.0023545588,.0025898372,100,.01176391,5908.4546
1972,2019,.00018889444,.0012755519,-.0023423969,.0027201856,100,.018889444,3685.4612
1973,2019,.00039061849,.0012723497,-.0021343182,.0029155551,100,.039061848,1790.1299
1974,2019,.00030520011,.0013082764,-.0022910319,.0029014321,100,.030520011,2286.4084
1975,2019,-.000046460817,.001285307,-.0025971106,.002504189,100,-.0046460815,
1976,2019,-.000079222831,.0013059446,-.0026708276,.0025123819,100,-.0079222834,
1977,2019,-.00040184177,.0013285653,-.0030383363,.0022346529,100,-.040184177,
1978,2019,-.00032065806,.0013402802,-.0029800646,.0023387487,101,-.032065805,
1979,2019,-.00016839462,.0013458966,-.0028389455,.0025021562,101,-.016839461,
1980,2019,.00015098395,.0013540791,-.0025358028,.0028377706,101,.015098395,4604.0498
1981,2019,-.00016380291,.0013740626,-.0028902411,.0025626353,101,-.016380291,
1982,2019,-.00040984817,.0013633585,-.003115047,.0022953507,101,-.040984817,
1983,2019,-.00056372263,.0013468355,-.0032361364,.0021086913,101,-.056372263,
1984,2019,-.00064720638,.0013572094,-.0033395446,.002045132,103,-.064720638,
1985,2019,-.00085334323,.001395207,-.0036210588,.0019143723,103,-.085334323,
1986,2019,-.00055343105,.0013884681,-.0033077784,.0022009162,103,-.055343106,
1987,2019,.000040492483,.0013818383,-.0027007032,.002781688,103,.0040492485,17128.668
1988,2019,.00034180001,.0014200521,-.0024752016,.0031588015,103,.03418,2038.3481
1989,2019,.00080282777,.0014226069,-.0020192417,.0036248972,103,.080282778,873.47455
1990,2019,.002038144,.0014673851,-.000867425,.0049437131,121,.2038144,349.89038
1991,2019,.0020299994,.0014944664,-.00092919345,.0049891924,121,.20299993,350.90121
1992,2019,.0018059553,.0014364376,-.0010378519,.0046497625,123,.18059553,392.89877
1993,2019,.0022062662,.00144399,-.00065249304,.0050650253,123,.22062662,322.92242
1994,2019,.0031465262,.0014912146,.00019427361,.0060987789,123,.31465262,228.72083
1995,2019,.0029833945,.0014764232,.000060425158,.0059063639,123,.29833946,240.40535
1996,2019,.0033452592,.0015044356,.00036683233,.0063236863,123,.33452591,214.92946
1997,2019,.0030112041,.0014262852,.00018749631,.0058349119,123,.3011204,237.55142
1998,2019,.0035096183,.0014702246,.00059892121,.0064203157,123,.35096183,204.51997
1999,2019,.0038745347,.0015228129,.00085972517,.0068893447,123,.38745347,185.57236
2000,2019,.004250831,.0015555078,.0011715482,.007330114,124,.4250831,169.38829
2001,2019,.0038477336,.0015413613,.00079645484,.0068990123,124,.38477337,186.10782
2002,2019,.0035734582,.0016220115,.00036252433,.0067843921,124,.35734582,199.57561
2003,2019,.0035465795,.0016477362,.00028472103,.0068084379,124,.35465795,200.69189
2004,2019,.00360564,.0016183313,.00040199168,.0068092886,124,.36056399,197.13838
2005,2019,.0043072226,.0016150525,.0011100651,.0075043803,124,.43072227,165.48068
2006,2019,.0045837085,.0016408853,.0013354123,.0078320047,124,.45837083,155.4231
2007,2019,.00482701,.0016433134,.0015739069,.0080801127,124,.482701,147.44981
2008,2019,.0051662093,.0018043756,.0015942679,.0087381508,124,.51662093,137.67094
2009,2019,.0032419097,.0017626903,-.00024751166,.0067313309,124,.32419097,216.946
2010,2019,.0031609086,.00181015,-.00042246404,.0067442814,124,.31609085,222.07452
